augmented_constrast_stretching_1,augmented_log_1,augmented_exponencial_1,augmented_laplaciano_1,augmented_media_1,normalized_constrast_stretching_1,normalized_log_1,normalized_exponencial_1,normalized_laplaciano_1,normalized_media_1,originalGray_1,augmented_constrast_stretching_2,augmented_log_2,augmented_exponencial_2,augmented_laplaciano_2,augmented_media_2,normalized_constrast_stretching_2,normalized_log_2,normalized_exponencial_2,normalized_laplaciano_2,normalized_media_2,originalGray_2,augmented_constrast_stretching_3,augmented_log_3,augmented_exponencial_3,augmented_laplaciano_3,augmented_media_3,normalized_constrast_stretching_3,normalized_log_3,normalized_exponencial_3,normalized_laplaciano_3,normalized_media_3,originalGray_3,augmented_constrast_stretching_4,augmented_log_4,augmented_exponencial_4,augmented_laplaciano_4,augmented_media_4,normalized_constrast_stretching_4,normalized_log_4,normalized_exponencial_4,normalized_laplaciano_4,normalized_media_4,originalGray_4
1515883,306,230,7206390,44748,1291768,116901,91667,4166823,45063,928,10768505,2358,3283,9748873,50117,10583776,56410,34301,6118815,45438,3490,5054087,308,543,7629213,47073,4479078,85166,60280,4336041,44328,1112,5201415,306,400,7722587,47931,4699030,80867,49546,4440041,44789,1036
120895,25,396,2244067,6925,118903,51265,38588,369341,55794,262,113013,290,17288,3524954,17496,56229,52313,43285,483711,49336,16431,297981,52,1914,2882528,5877,132839,56731,44102,371018,54999,1709,266727,38,987,2928782,4162,130061,52234,38412,371036,54935,937
100008,30,567,999188,427,106113,58584,54690,314585,66678,367,104266,131,137122,1150685,46237,46391,70418,48820,400769,53024,51120,226101,36,9836,1265285,2744,115744,58020,48425,326840,58753,3934,204805,31,2979,1240508,1235,110262,59272,47640,338006,64788,2458
83477,30,787,525424,47,92933,58943,53253,267687,59226,447,52983,88,131528,508988,79656,37702,53719,42133,342086,60839,87762,177190,41,14783,677751,4559,100745,66166,52977,295479,57484,6893,159408,35,15827,667351,5437,95745,58957,55794,288330,59471,7607
77319,27,1215,296903,16,82863,60756,56902,239360,64891,571,99639,56,359406,284709,119167,40390,60214,55924,290836,56185,126926,154467,43,42397,423553,9893,88696,63065,61905,274497,66866,13344,141022,32,31552,421833,6905,86439,62058,54122,266113,58111,8668
66694,37,2153,191319,74,74179,63110,54492,218497,61615,759,28613,42,228184,181858,155446,27990,50174,49514,255815,55579,164365,128287,26,38028,302770,16843,82205,61289,56762,243147,63055,20852,117394,35,26446,303797,10928,78428,60993,51476,239728,61452,13953
62228,32,3514,147451,144,73583,62403,59667,203389,64678,973,25275,41,483861,127963,202511,32863,59468,43222,234741,51324,202715,117111,41,90375,239796,20126,73678,65839,55686,221366,67267,24536,106460,39,63578,240483,15759,72116,60440,53482,220331,61870,19606
58464,37,4852,126981,162,65546,61382,62832,183935,61510,1202,20075,36,533607,95862,211727,32097,66936,57587,212916,52271,217293,107640,45,126112,200248,28610,72903,57068,62884,202833,56963,33307,98830,41,167966,200437,17791,65397,63391,57038,201435,61454,21782
59566,28,13069,115322,408,65418,66541,59533,169652,64019,1572,49748,52,671696,74503,233623,20527,51921,52009,192583,60745,238327,107050,42,148062,173164,36764,69474,62502,62302,183472,61640,42498,96372,32,175209,172659,20435,64709,58568,59921,186266,57994,26092
55060,29,24674,107838,368,62024,64603,56827,152482,59079,1936,17851,67,671731,60156,250879,18862,61721,43640,171418,57236,250634,98719,40,170771,151187,45187,63451,59236,56775,165984,59394,49888,91326,42,164683,152535,29149,61956,66296,60366,164684,62146,35383
58484,32,38197,101232,602,62194,61936,66383,137434,61379,2665,50443,40,664834,49565,260424,25404,73909,67585,156985,66348,261086,103250,42,184938,135031,54796,62284,60256,61884,150553,58594,60092,91805,34,224822,135395,45258,58321,60840,61645,150761,68615,52102
